no.,stage,date,weekday,match_no,team,player,point,rank,pt,host,commentary,judge,reporter,round_no,win_no,deal_in_no,riichi_no,call_no,drawn_no,renchan_no,4call_no
25,2018R,2018/10/22,月,1,セガサミーフェニックス,魚谷侑未,17800,3,-22.2,松嶋桃,村上淳,張敏賢,松本圭世,10,0,1,2,10,3,0,0
25,2018R,2018/10/22,月,1,KONAMI 麻雀格闘倶楽部,高宮まり,6900,4,-53.1,松嶋桃,村上淳,張敏賢,松本圭世,10,2,4,5,1,3,0,0
26,2018R,2018/10/22,月,2,EX風林火山,滝沢和典,16300,3,-23.7,松嶋桃,村上淳,張敏賢,松本圭世,13,2,1,1,7,2,0,0
26,2018R,2018/10/22,月,2,TEAM RAIDEN / 雷電,瀬戸熊直樹,42500,1,62.5,松嶋桃,村上淳,張敏賢,松本圭世,13,4,1,4,0,2,2,0
26,2018R,2018/10/22,月,2,KONAMI 麻雀格闘倶楽部,佐々木寿人,13700,4,-46.3,松嶋桃,村上淳,張敏賢,松本圭世,13,1,3,2,3,2,0,0
26,2018R,2018/10/22,月,2,セガサミーフェニックス,魚谷侑未,27500,2,7.5,松嶋桃,村上淳,張敏賢,松本圭世,13,4,2,1,6,2,3,0
27,2018R,2018/10/23,火,1,EX風林火山,勝又健志,24800,3,-15.2,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,2,2,3,3,0,0
27,2018R,2018/10/23,火,1,セガサミーフェニックス,近藤誠一,34000,1,54,小林未沙,多井隆晴,張敏賢,松本圭世,11,2,3,1,3,3,3,0
27,2018R,2018/10/23,火,1,U-NEXT Pirates,石橋伸洋,33200,2,13.2,小林未沙,多井隆晴,張敏賢,松本圭世,11,3,0,6,5,3,0,0
27,2018R,2018/10/23,火,1,TEAM RAIDEN / 雷電,瀬戸熊直樹,8000,4,-52,小林未沙,多井隆晴,張敏賢,松本圭世,11,1,1,1,0,3,0,0
28,2018R,2018/10/23,火,2,EX風林火山,勝又健志,31200,2,11.2,小林未沙,多井隆晴,張敏賢,松本圭世,10,2,0,1,2,3,0,0
28,2018R,2018/10/23,火,2,TEAM RAIDEN / 雷電,萩原聖人,17900,4,-42.1,小林未沙,多井隆晴,張敏賢,松本圭世,10,1,1,1,6,3,1,0
28,2018R,2018/10/23,火,2,U-NEXT Pirates,朝倉康心,32800,1,52.8,小林未沙,多井隆晴,張敏賢,松本圭世,10,3,2,3,6,3,0,0
28,2018R,2018/10/23,火,2,セガサミーフェニックス,茅森早香,18100,3,-21.9,小林未沙,多井隆晴,張敏賢,松本圭世,10,1,2,1,0,3,1,0
